plant,genotype,year,time,DryWeight(g),Volume3D(mm^3),ConvexHullVolume3D(mm^3),Solidity3D,TotalRootLength3D(mm),SpecificRootLength3D(1/mm^2),WidthDepthRatio3D,NumberRootTips3D
132-1,B73,2017,flowering,130.11,127824.745190112,3337012.30402732,0.0383,145386.912,1.1383004626,0.6133,10603
132-2,B73,2017,flowering,155.65,106662.066860304,2153487.04447914,0.0495,110916.306,1.0388767146,0.4968,8898
132-4,B73,2017,flowering,169.49,121031.393781672,2461941.50446732,0.0492,94328.244,0.7791575359,0.6195,7183
44-1,B73,2017,flowering,96.85,133458.039161208,2921392.79167352,0.0457,108069.156,0.8095933772,0.5699,8394
44-3,B73,2017,flowering,86.3,102493.965214224,1860552.19484824,0.0551,85754.382,0.8359711062,0.4661,7237
44-5,B73,2017,flowering,116.58,101836.605168288,1978226.06911261,0.0515,97148.754,0.9536563591,0.4441,7668
231-1,hybrid,2017,flowering,55.6,132960.31994664,4121338.84470129,0.0323,85184.952,0.6411817223,0.7151,5947
231-2,hybrid,2017,flowering,59.78,153635.50894176,4683095.82356882,0.0328,85214.922,0.5539323107,0.9002,5039
231-5,hybrid,2017,flowering,56.95,118069.28009244,4211315.69665781,0.028,113835.606,0.9638016395,1.2284,7103
48-1,hybrid,2017,flowering,,224829.696033216,4331353.19834477,0.0519,91432.476,0.4068257447,0.7055,4431
48-3,hybrid,2017,flowering,137.85,206189.881138584,4873562.16962806,0.0423,202236.45,0.9800340881,0.8433,13742
48-4,hybrid,2017,flowering,76.55,148092.216031512,3807978.70508212,0.0389,142789.512,0.9638016395,0.8107,9324
211-1,Mo17,2017,flowering,32.96,71816.459196456,2425730.64001089,0.0296,51490.902,0.7162567973,0.6668,3338
211-3,Mo17,2017,flowering,41.18,74050.282025568,2892743.69760306,0.0256,58593.126,0.7913318724,0.6974,3584
211-4,Mo17,2017,flowering,28.67,71696.676602952,2597793.70204556,0.0276,43511.556,0.6066877688,0.7139,3013
38-1,Mo17,2017,flowering,27.73,56896.469329248,2118592.92238568,0.0269,35894.958,0.6310364418,0.5916,2154
38-3,Mo17,2017,flowering,35.03,73687.039231968,2577888.74824084,0.0286,55771.506,0.756837919,0.656,3477
38-4,Mo17,2017,flowering,35.41,79046.752297824,3177061.08789248,0.0249,48538.524,0.6148039932,0.7143,2985
p0005,B73,,11DAG,,6261.778877,855164.2419,0.0073,4241.5152,0.677534448,0.7331,321
p0019,B73,,11DAG,0.035,5628.140916,697528.5913,0.0081,3254.0896,0.578181128,0.5985,210
p0020,B73,,11DAG,0.049,4974.214056,695358.0432,0.0072,2601.5488,0.522984839,0.6546,175
p0021,B73,,11DAG,0.041,5619.088946,545633.3209,0.0103,3997.0816,0.711342175,0.8655,303
