plant_id,genotype,total_root_length_at_0_time,total_root_length_at_1_time,total_root_length_at_2_time,total_root_length_at_3_time,total_root_length_at_4_time,total_root_length_at_5_time,total_root_length_at_6_time,total_root_length_at_7_time,total_root_length_at_8_time,total_root_length_at_9_time,total_root_length_at_10_time,total_root_length_at_11_time,total_root_length_at_12_time,total_root_length_at_13_time,total_root_length_at_14_time,total_root_length_at_15_time,total_root_length_at_16_time,total_root_length_at_17_time,total_root_length_at_18_time,total_root_length_at_19_time,total_root_length_at_20_time,total_root_length_at_21_time,total_root_length_at_22_time,total_root_length_at_23_time,total_root_length_at_24_time,total_root_length_at_25_time,total_root_length_at_26_time,total_root_length_at_27_time,total_root_length_at_28_time,total_root_length_at_29_time,total_root_length_at_30_time,total_root_length_at_31_time,total_root_length_at_32_time,total_root_length_at_33_time,total_root_length_at_34_time,total_root_length_at_35_time,total_root_length_at_36_time,total_root_length_at_37_time,total_root_length_at_38_time,total_root_length_at_39_time,total_root_length_at_40_time,total_root_length_at_41_time
ZmTIMp0005,B73,68.543704,129.872848,141.857632,153.260944,166.564808,192.526456,232.766472,272.263496,335.713936,381.69868,428.921744,506.058312,588.153544,694.099896,822.260632,982.370024,1094.292616,1232.230696,1368.12824,1499.427848,1661.2332,1811.193752,1974.544312,2112.132432,2261.446904,2391.642792,2535.923224,2645.062288,2743.864072,2843.010432,2900.479248,2970.412024,3061.767736,3133.762584,3161.307128,3200.071928,3238.755968,3272.050624,3320.20512,3362.55028,3384.888496,3406.769072
ZmTIMp0007,B73,59.929304,65.394064,70.778064,77.093496,82.870528,101.752216,123.713552,149.212176,216.323736,268.6616,346.56808,395.96628,497.2124,603.907128,776.092832,925.138104,1080.342672,1217.419312,1374.739792,1515.348336,1677.740544,1777.9314,1875.688688,2006.875232,2072.053936,2201.6522,2257.963456,2338.884976,2369.239968,2406.012688,2439.926504,2471.28292,2526.46892,2568.431816,2578.392216,2596.073272,2613.129784,2621.754952,2644.4862,2670.663208,2687.122096,
ZmTIMp0008,B73,99.453248,107.120064,118.351088,129.711328,139.402528,158.61264,185.925672,229.8968,285.072032,324.54752,372.49204,440.535032,520.185928,641.552056,801.591456,994.979352,1160.300456,1346.705304,1535.08608,1696.864512,1860.554264,2084.970152,2195.97208,2303.89436,2380.164104,2457.82292,2547.579584,2611.498432,2688.457328,2754.007528,2797.133368,2832.861592,2882.012128,2941.166136,2961.086936,2989.299096,3015.842216,3029.641408,3052.534176,3086.550288,3106.977184,
ZmTIMp0009,B73,25.746288,29.595848,32.73472,39.970816,51.960984,61.716792,73.583128,84.3942,112.854024,145.5026,174.52236,212.528016,251.260512,291.360544,359.209712,435.5656,497.23932,580.820536,661.079824,752.1448,853.191712,943.9498,1018.388984,1187.295832,1243.574784,1308.672728,1378.22324,1439.848504,1475.076016,1544.728824,1581.490776,1608.206184,1688.460088,1722.524656,1769.10164,1813.449648,1834.958728,1879.532864,1954.596592,1988.758072,2018.924624,
ZmTIMp0011,B73,9.298168,35.744376,46.7062,57.108088,67.822248,82.34828,98.091096,112.859408,131.66572,150.64432,168.89608,190.932792,246.538744,296.313824,363.780728,454.883392,535.212672,683.547256,820.957704,989.024648,1125.562888,1248.624976,1321.244368,1431.357936,1531.974128,1607.775464,1705.150488,1759.997296,1829.94084,1894.774968,1958.290016,2033.019936,2084.30792,2138.3902,2162.876632,2201.383,2233.186288,2269.991312,2296.932848,2328.827664,2362.773784,
ZmTIMp0012,B73,58.63176,81.13688,85.664824,90.601952,99.431712,112.277936,132.220272,150.299744,175.728376,203.822088,227.996248,260.402544,298.908912,337.533728,394.16264,443.21088,490.353184,550.072512,619.041552,709.250472,811.2342,918.7796,1012.256608,1107.451112,1220.12208,1296.241072,1399.296216,1521.916816,1594.057032,1648.112392,1718.987368,1774.130296,1862.341752,1924.037008,1970.700136,2028.621208,2046.24304,2093.697616,2126.739224,2185.12332,2220.867696,
ZmTIMp0013,B73,126.98164,149.680584,162.451432,177.499712,200.543232,235.103128,268.510848,305.29972,361.971704,421.51336,479.455968,543.940136,648.411272,775.850552,921.800024,1044.68444,1196.852432,1347.744416,1489.67204,1607.054008,1709.306936,1789.033208,1864.53304,1949.847904,2004.980064,2062.71808,2118.41556,2161.126832,2199.186328,2243.48588,2268.462256,2291.72652,2325.51112,2350.665168,2379.911056,2400.951728,2412.478872,2421.233256,2435.064752,2451.717464,2473.275,
ZmTIMp0019,B73,43.465032,47.40612,74.886056,81.034584,90.031248,99.4694,115.389888,130.07744,145.814872,165.574152,187.061696,230.81208,289.589208,353.29808,443.684672,603.401032,710.919512,842.800592,967.483264,1105.265208,1252.619904,1363.465696,1441.635992,1527.537712,1609.320672,1696.293808,1815.011008,1870.046256,1905.634496,1944.453136,1981.645808,2030.354856,2075.50508,2114.7006,2140.59764,2174.226104,2193.107792,2219.23096,2241.030776,2275.78988,2292.248768,2307.087072
ZmTIMp0020,B73,70.600392,78.09492,87.576144,190.981248,203.97284,222.849144,247.809368,289.896096,339.89192,386.8404,430.82768,478.169192,546.142192,612.230792,695.591264,814.997616,911.613496,1022.8254,1163.595464,1282.910288,1432.477808,1552.69176,1666.59028,1777.44684,1854.971056,1947.333576,2014.402064,2088.819712,2147.499928,2214.843,2231.280352,2299.501016,2356.889072,2403.051488,2437.455248,2486.018928,2508.97092,2530.108504,2579.269808,2632.329128,2657.181672,2681.371984
ZmTIMp0021,B73,64.451864,69.792792,78.245672,93.57392,135.843704,158.6934,187.65932,215.176944,256.606824,305.396632,350.541472,409.313216,484.99072,565.115408,696.4204,835.343752,939.631832,1088.978608,1230.7824,1390.0142,1566.916288,1722.293144,1847.018888,1990.281744,2101.143688,2203.37508,2323.718248,2406.357264,2477.361456,2524.562984,2567.376552,2606.803584,2659.636776,2712.21692,2743.347208,2778.687784,2801.935896,2818.276336,2845.772424,2888.618296,2906.676232,2931.448016
ZmTIMp0022,B73,69.437448,145.922552,166.764016,183.750536,200.672448,227.037896,267.69248,312.309688,360.329584,418.82136,480.328176,578.343896,701.48136,862.016088,1084.477584,1315.542712,1511.084208,1737.52448,1904.433864,2155.963576,2393.311832,2594.436536,2740.262176,2894.470704,2978.10576,3022.06612,3128.13092,3194.564096,3274.618792,3328.878744,3398.052376,3436.316464,3530.078824,3596.35048,3633.144736,3679.565584,3736.937488,3771.16896,3838.835072,3884.572152,3955.635568,3988.731016
ZmTIMp0024,B73,42.808184,46.657744,51.60564,57.0704,61.45836,65.302536,70.401184,74.153832,77.858024,91.108048,98.801784,115.411424,146.046384,176.78364,224.572024,280.996344,350.98296,421.32492,522.603344,656.115776,862.83984,1017.209888,1164.37076,1306.088408,1439.859272,1576.666712,1717.668288,1835.857856,1890.015512,1961.730392,2063.418,2108.552072,2168.696736,2226.117096,2263.525128,2297.078216,2318.436544,2335.035416,2378.968856,2414.094072,2438.973536,2473.630344
ZmTIMp0025,Mo17,34.866784,40.455376,46.593136,53.236992,60.473088,67.983768,79.365544,90.354288,101.56916,116.084424,147.543136,191.864224,250.576744,312.175088,382.145552,461.155752,541.598096,633.852936,749.625088,863.087504,1017.608304,1156.736248,1332.448472,1461.276824,1688.465472,1784.49988,1908.73568,2000.199072,2102.204336,2208.263752,2274.869216,2336.149904,2412.360424,2469.215464,2505.783592,2541.770248,2610.373176,2631.042352,2658.613816,2677.393208,2683.773248,2700.625168
ZmTIMp0028,Mo17,3.838792,4.452568,6.423112,7.6722,15.193648,16.103544,17.837192,19.479312,26.92,39.507792,52.639368,84.85184,122.652904,172.20724,219.333392,256.746808,300.691016,361.417152,422.67092,501.961088,580.282136,660.256072,741.150672,823.041312,920.276352,1061.283312,1165.436792,1275.033496,1362.431968,1445.883968,1534.52076,1616.395248,1710.437576,1774.733304,1834.350336,1894.812656,1969.03648,2025.369272,2074.040632,2119.885392,2152.189392,2186.95388
ZmTIMp0029,Mo17,19.581608,20.561496,87.522304,147.806952,155.888336,162.688328,172.573352,192.429544,210.535936,246.807944,282.913048,323.68608,360.706464,406.389704,480.667368,548.974176,607.977432,667.540624,732.633184,811.002688,894.788496,988.916968,1069.633896,1196.130976,1300.45136,1421.59136,1516.274384,1585.970264,1652.05348,1739.635008,1820.987248,1883.732384,1956.2764,2008.511968,2048.434328,2126.636928,2174.231488,2209.507456,2253.650872,2269.479832,2297.27204,2331.422752
ZmTIMp0030,Mo17,25.778592,28.432904,30.613424,32.347072,33.278504,36.589664,38.646352,60.284648,84.792616,117.597328,158.758008,206.131824,264.090584,318.205168,371.178344,490.703144,554.562768,623.617952,707.37684,796.115928,980.097976,1065.563592,1146.36128,1254.466616,1334.47824,1431.379472,1505.28564,1655.897656,1704.988968,1758.080592,1806.423528,1864.123856,1914.071224,1945.034608,1955.807992,1972.934496,2001.588144,2012.813784,2027.10292,2034.898952,2040.719056,2047.5352
ZmTIMp0032,Mo17,6.471568,20.421512,23.506544,26.343912,29.299728,34.220704,44.951016,57.560344,70.508864,82.569024,114.663048,137.80348,169.709064,196.860576,230.75824,264.268256,292.02816,332.483536,375.087128,450.72156,519.803664,582.904144,710.440336,789.665896,871.755744,949.570696,1051.694408,1127.479592,1211.583056,1296.795624,1386.966856,1482.554392,1558.786448,1629.214552,1689.251536,1766.102752,1844.170752,1902.94788,1957.886216,1998.97152,2051.977,2113.16616
