plant_id,genotype,total_root_volume_at_0_time,total_root_volume_at_1_time,total_root_volume_at_2_time,total_root_volume_at_3_time,total_root_volume_at_4_time,total_root_volume_at_5_time,total_root_volume_at_6_time,total_root_volume_at_7_time,total_root_volume_at_8_time,total_root_volume_at_9_time,total_root_volume_at_10_time,total_root_volume_at_11_time,total_root_volume_at_12_time,total_root_volume_at_13_time,total_root_volume_at_14_time,total_root_volume_at_15_time,total_root_volume_at_16_time,total_root_volume_at_17_time,total_root_volume_at_18_time,total_root_volume_at_19_time,total_root_volume_at_20_time,total_root_volume_at_21_time,total_root_volume_at_22_time,total_root_volume_at_23_time,total_root_volume_at_24_time,total_root_volume_at_25_time,total_root_volume_at_26_time,total_root_volume_at_27_time,total_root_volume_at_28_time,total_root_volume_at_29_time,total_root_volume_at_30_time,total_root_volume_at_31_time,total_root_volume_at_32_time,total_root_volume_at_33_time,total_root_volume_at_34_time,total_root_volume_at_35_time,total_root_volume_at_36_time,total_root_volume_at_37_time,total_root_volume_at_38_time,total_root_volume_at_39_time,total_root_volume_at_40_time,total_root_volume_at_41_time
ZmTIMp0005,B73,900.358963647,1023.0287756467,1083.5833393311,1121.8201127916,1215.3051221909,1356.8592182262,1503.8757104701,1617.1814146837,1742.19225363,1837.8622215127,1945.7055295176,2134.5483698734,2341.6512204124,2537.5171416079,2808.9201989458,3094.9936918154,3289.1428599168,3477.2053579571,3645.7592981094,3816.3421282821,4015.797624129,4188.4093443221,4350.8766144133,4488.9972042604,4639.9154080819,4762.1170146924,4908.665301547,5004.647406356,5087.207623338,5177.1030580859,5215.9641053988,5278.7036275666,5347.6858882586,5399.1884810829,5425.8761882737,5455.6852647265,5487.3671627366,5515.1473491692,5549.7945479782,5576.6383236321,5589.5920060698,5602.2335515812
ZmTIMp0007,B73,1035.514252695,1072.8146153769,1116.0455796567,1150.0685046134,1173.9469794683,1414.2924126485,1538.6789777423,1626.0773170806,1738.6026789786,1839.8911115331,2010.3178732426,2127.5252890337,2445.9049537659,2654.1002835466,2926.9079570524,3170.0626225685,3365.3042699116,3531.8293200435,3716.6143803587,3889.5382374779,4074.0111608668,4192.4671243628,4289.5417084134,4444.2055553495,4504.2919136445,4608.8577839242,4666.1349098834,4723.8802412319,4756.0303446313,4791.7700226821,4811.7467859594,4847.3303955471,4883.2261420611,4922.8675316895,4929.7345440661,4949.8673758065,4964.3817428751,4974.9943983662,4992.630134697,5008.5491179336,5020.0981842033,
ZmTIMp0008,B73,2064.4736299397,2105.9878411254,2154.6812016138,2200.8774666926,2235.0564601124,2279.6920405601,2591.5168298419,2783.3249709967,2899.7520444723,2995.265943892,3089.843432533,3273.2238766802,3471.4308248223,3804.3248566231,4177.4845519048,4540.968002474,4811.2785805701,5093.1382249359,5372.5007738921,5596.7711553725,5798.567678166,6057.6413269187,6161.1147179566,6266.1487936256,6336.5356704855,6405.8300681037,6483.5521627295,6541.297494078,6610.7479601592,6655.0714036808,6688.3139863219,6718.2791312379,6758.5447947187,6805.3653336499,6823.1571384438,6848.4402294666,6871.6944304691,6885.7405921485,6906.029492352,6929.5958302807,6945.2026765911,
ZmTIMp0009,B73,1030.6761303388,1049.8725513006,1063.7626445169,1093.2595840435,1137.426959102,1168.6406517228,1209.0623836667,1227.0102569237,1292.8711483535,1350.4604112389,1435.3616551675,1536.650087722,1618.4299623885,1696.9323993298,1888.8966089477,2043.0922504945,2174.0336910387,2345.7090004531,2502.7138743357,2650.9789142845,2779.7353963453,2912.5496584469,2987.4625207368,3106.8548950113,3172.7157864412,3259.0216465377,3333.6223719014,3407.7548918758,3444.1188437791,3505.4537497789,3548.0604402063,3575.0602843233,3651.065625855,3687.8977831475,3722.3889134935,3767.1805624044,3790.4347634069,3840.5327400632,3904.5208099359,3939.0119402819,3961.3297305057,
ZmTIMp0011,B73,460.2458976937,1383.8590623432,1476.2515925007,1544.9217162665,1651.2043396403,1821.787169813,2030.450704983,2171.6926640922,2281.0966567281,2355.0731082394,2430.9223813079,2523.6270483917,2702.0133017196,2825.9316614241,2936.8963386911,3152.5829547008,3323.6339902628,3595.3491845269,3827.2669206994,4102.8838265411,4359.3043114209,4553.7656164485,4657.3950759496,4803.1630204887,4968.4395229158,5071.1325716383,5213.1548730629,5289.3162830577,5365.4776930524,5444.448335383,5526.0721415864,5625.955957973,5699.7763410212,5764.2326162831,5793.7295558098,5847.2610386545,5890.023797545,5938.2489526441,5968.6823029494,6004.7341179264,6026.1154973717,
ZmTIMp0012,B73,766.1400853775,1211.2473421501,1250.108389463,1270.8654950559,1308.7901315901,1357.4834920786,1488.7370695491,1555.5343717576,1637.4703148872,1717.8455733857,1786.9839025408,1883.1220758129,1986.4393983877,2066.8146568863,2172.7851433339,2243.48415712,2315.1195816847,2427.8010120458,2527.9969653586,2682.8168807578,2829.0530306862,2972.6360167419,3109.5080588841,3240.6055678915,3388.4024024509,3504.9855443896,3651.065625855,3803.7005827707,3883.6076358799,3947.4396372895,4028.5952381036,4098.5139095741,4196.3688359404,4269.8770820623,4321.0675379605,4388.0209086321,4414.0843419704,4466.3672771103,4508.037556759,4564.8464773289,4594.6555537818,
ZmTIMp0013,B73,1684.1347853553,1887.0237873905,1948.2026249272,1985.5029876091,2049.0228520924,2148.1263261635,2225.3802153999,2305.9115423616,2520.3496106665,2612.2739354348,2700.2965486254,2781.6082179026,3065.3406838257,3296.4780776827,3521.2166645525,3704.1289033103,3960.3933197271,4156.883514775,4321.6918118129,4489.1532727235,4600.5861553797,4692.1983432218,4774.6024917407,4872.1452811807,4922.5553947633,4982.4856845952,5036.6414412923,5078.3117209411,5115.4560151598,5152.1321039893,5174.29382575,5198.1723006049,5232.0391570985,5253.1083996175,5284.4781607014,5308.5127040195,5322.7149341619,5333.327589653,5348.310162111,5367.6626515359,5380.7724024366,
ZmTIMp0019,B73,1718.7819841644,1730.3310504341,1890.9254989681,1921.5149177365,1961.7805812173,2011.5664209475,2093.8145010033,2144.8488884383,2180.7446349522,2245.6691156035,2298.7323930588,2392.6856078474,2523.9391853179,2666.2736236687,2834.0472215055,3089.843432533,3247.3165118049,3440.6853375908,3592.0717468017,3780.2903133051,3967.5724690299,4098.2017726479,4189.3457551007,4273.7787936399,4352.4372990444,4462.3094970696,4606.6728254408,4690.3255216645,4728.8744320512,4762.8973570079,4805.6601158984,4858.7233933537,4900.2376045394,4939.8789941678,4965.1620851907,4999.3410786104,5022.751348076,5052.5604245289,5075.9706939945,5111.0860981929,5126.224739114,5136.0570522895
ZmTIMp0020,B73,638.7882194847,683.7359368586,726.0304903598,883.3475011686,930.7923139523,995.2485892142,1080.1498331428,1177.3804856566,1270.3972896666,1359.6684505621,1451.7488437934,1533.5287184599,1683.5105115029,1789.4809979505,1931.5032993751,2134.2362329472,2303.7265838781,2461.3557316132,2657.8459266611,2804.2381450527,2973.1042221312,3108.8837850317,3254.1835241815,3381.0671846851,3470.4944140437,3591.2914044861,3667.4528144809,3752.1979899464,3821.0241821752,3893.9081544448,3918.254834689,3996.7572716303,4054.6586714419,4103.5081003935,4138.6235045919,4196.5249044035,4221.9640638894,4243.9697171871,4297.6572684949,4351.8130251919,4374.5990208051,4390.6740725048
ZmTIMp0021,B73,1279.9174659159,1305.2005569388,1339.8477557478,1397.5930870963,1564.1181372283,1650.4239973248,1743.4408013348,1813.8276781947,1908.2490983726,2086.1671463112,2203.9988359547,2370.2117491605,2508.4884074706,2632.094630249,2836.7003853783,2986.0579045688,3085.4735155661,3269.6343020288,3426.014902059,3625.0021925166,3813.3768274831,3950.5610065516,4052.3176444954,4165.779417172,4256.9233996247,4349.0037928561,4444.6737607388,4502.8872974766,4554.8580956902,4591.8463214459,4625.2449725501,4652.8690905196,4690.0133847383,4726.8455420309,4748.6951268654,4775.2267655931,4791.7700226821,4806.7525951401,4825.4808107126,4849.8274909568,4857.4748456489,4869.8042542341
